gvkey,datadate,fyear,tic,conm,curcd,revt,sale,xad,exchg
012485,12/31/2013,2013,ATUS,ALTICE USA INC,USD,6232.1520,6232.1520,140.7790,11
012485,12/31/2014,2014,ATUS,ALTICE USA INC,USD,6460.9460,6460.9460,156.2280,11
012485,12/31/2015,2015,ATUS,ALTICE USA INC,USD,6513.0430,6513.0430,160.6710,11
012485,12/31/2016,2016,ATUS,ALTICE USA INC,USD,6017.2120,6017.2120,135.5130,11
012485,12/31/2017,2017,ATUS,ALTICE USA INC,USD,9326.5700,9326.5700,224.1200,11
012485,12/31/2018,2018,ATUS,ALTICE USA INC,USD,9566.6080,9566.6080,240.2730,11
012485,12/31/2019,2019,ATUS,ALTICE USA INC,USD,9760.8590,9760.8590,233.3260,11
012540,11/30/2010,2010,ADBE,ADOBE INC,USD,3800.0000,3800.0000,65.9000,14
012540,11/30/2011,2011,ADBE,ADOBE INC,USD,4216.2580,4216.2580,75.1000,14
012540,11/30/2012,2012,ADBE,ADOBE INC,USD,4403.6770,4403.6770,99.4000,14
012540,11/30/2013,2013,ADBE,ADOBE INC,USD,4055.2400,4055.2400,88.5000,14
012540,11/30/2014,2014,ADBE,ADOBE INC,USD,4147.0650,4147.0650,87.9000,14
012540,11/30/2015,2015,ADBE,ADOBE INC,USD,4795.5110,4795.5110,113.6000,14
012540,11/30/2016,2016,ADBE,ADOBE INC,USD,5854.4300,5854.4300,135.8000,14
012540,11/30/2017,2017,ADBE,ADOBE INC,USD,7301.5050,7301.5050,141.7000,14
012540,11/30/2018,2018,ADBE,ADOBE INC,USD,9030.0080,9030.0080,173.6000,14
012540,11/30/2019,2019,ADBE,ADOBE INC,USD,11171.2970,11171.2970,221.1000,14
012540,11/30/2020,2020,ADBE,ADOBE INC,USD,12868.0000,12868.0000,,14
014140,12/31/2010,2010,SAN,BANCO SANTANDER SA,USD,86479.9870,,,11
014140,12/31/2010,2010,SAN,BANCO SANTANDER SA,USD,87065.3460,87065.3460,840.6060,11
014140,12/31/2011,2011,SAN,BANCO SANTANDER SA,USD,94731.4410,,,11
014140,12/31/2011,2011,SAN,BANCO SANTANDER SA,USD,94731.4410,94731.4410,901.6230,11
014140,12/31/2012,2012,SAN,BANCO SANTANDER SA,USD,96550.5280,,,11
014140,12/31/2012,2012,SAN,BANCO SANTANDER SA,USD,96550.5280,96550.5280,876.8690,11
014140,12/31/2013,2013,SAN,BANCO SANTANDER SA,USD,91875.6170,,,11
014140,12/31/2013,2013,SAN,BANCO SANTANDER SA,USD,91875.6170,91875.6170,868.0770,11
014140,12/31/2014,2014,SAN,BANCO SANTANDER SA,USD,85221.2930,,,11
014140,12/31/2014,2014,SAN,BANCO SANTANDER SA,USD,85221.2930,85221.2930,792.6160,11
014140,12/31/2015,2015,SAN,BANCO SANTANDER SA,USD,75754.5560,,,11
014140,12/31/2015,2015,SAN,BANCO SANTANDER SA,USD,75754.5560,75754.5560,765.5600,11
014140,12/31/2016,2016,SAN,BANCO SANTANDER SA,USD,71953.0330,,,11
014140,12/31/2016,2016,SAN,BANCO SANTANDER SA,USD,71953.0330,71953.0330,729.1430,11
014140,12/31/2017,2017,SAN,BANCO SANTANDER SA,USD,83371.3680,,,11
014140,12/31/2017,2017,SAN,BANCO SANTANDER SA,USD,83371.3680,83371.3680,910.0650,11
014140,12/31/2018,2018,SAN,BANCO SANTANDER SA,USD,68463.7310,,,11
014140,12/31/2018,2018,SAN,BANCO SANTANDER SA,USD,67686.3460,67686.3460,739.6040,11
014140,12/31/2019,2019,SAN,BANCO SANTANDER SA,USD,69291.4140,,,11
014140,12/31/2019,2019,SAN,BANCO SANTANDER SA,USD,68245.5400,68245.5400,768.6950,11
015181,12/31/2010,2010,BBVA,BBVA,USD,41209.5340,,,11
015181,12/31/2010,2010,BBVA,BBVA,USD,41810.6200,41810.6200,457.7810,11
015181,12/31/2011,2011,BBVA,BBVA,USD,44861.9310,,,11
015181,12/31/2011,2011,BBVA,BBVA,USD,45335.4460,45335.4460,490.3790,11
015181,12/31/2012,2012,BBVA,BBVA,USD,48569.3120,,,11
015181,12/31/2012,2012,BBVA,BBVA,USD,48730.1810,48730.1810,498.4310,11
015181,12/31/2013,2013,BBVA,BBVA,USD,44770.7270,,,11
015181,12/31/2013,2013,BBVA,BBVA,USD,46014.9710,46014.9710,462.9740,11
015181,12/31/2014,2014,BBVA,BBVA,USD,40139.0170,,,11
015181,12/31/2014,2014,BBVA,BBVA,USD,40984.8770,40984.8770,257.7510,11
015181,12/31/2015,2015,BBVA,BBVA,USD,37108.4610,,,11
015181,12/31/2015,2015,BBVA,BBVA,USD,38373.5350,38373.5350,270.3890,11
015181,12/31/2016,2016,BBVA,BBVA,USD,40963.9210,,,11
015181,12/31/2016,2016,BBVA,BBVA,USD,41461.9750,41461.9750,419.9700,11
015181,12/31/2017,2017,BBVA,BBVA,USD,46729.5140,,,11
015181,12/31/2017,2017,BBVA,BBVA,USD,47967.7800,47967.7800,423.1740,11
015181,12/31/2018,2018,BBVA,BBVA,USD,46019.1600,,,11
015181,12/31/2018,2018,BBVA,BBVA,USD,46008.8550,46008.8550,384.6860,11
015181,12/31/2019,2019,BBVA,BBVA,USD,45419.2240,,,11
015181,12/31/2019,2019,BBVA,BBVA,USD,46076.8230,46076.8230,355.7320,11
015617,12/31/2010,2010,ING,ING GROEP NV,USD,72412.9140,72412.9140,927.5030,11
015617,12/31/2011,2011,ING,ING GROEP NV,USD,70900.0400,70900.0400,888.6510,11
015617,12/31/2012,2012,ING,ING GROEP NV,USD,56164.4480,56164.4480,741.0530,11
015617,12/31/2013,2013,ING,ING GROEP NV,USD,36083.0670,36083.0670,626.9450,11
015617,12/31/2014,2014,ING,ING GROEP NV,USD,18662.1620,18662.1620,490.0910,11
015617,12/31/2015,2015,ING,ING GROEP NV,USD,17757.7230,17757.7230,453.9060,11
015617,12/31/2016,2016,ING,ING GROEP NV,USD,18363.6460,18363.6460,426.3010,11
015617,12/31/2017,2017,ING,ING GROEP NV,USD,21298.1750,21298.1750,547.0010,11
015617,12/31/2018,2018,ING,ING GROEP NV,USD,20645.9380,20645.9380,460.2490,11
015617,12/31/2019,2019,ING,ING GROEP NV,USD,20488.8110,20488.8110,438.7730,11
019151,12/31/2010,2010,TIIAY,TELECOM ITALIA SPA,USD,36922.3190,36922.3190,853.1970,19
019151,12/31/2011,2011,TIIAY,TELECOM ITALIA SPA,USD,39251.1090,39251.1090,862.7050,19
019151,12/31/2012,2012,TIIAY,TELECOM ITALIA SPA,USD,39295.5990,39295.5990,839.9480,19
019151,12/31/2013,2013,TIIAY,TELECOM ITALIA SPA,USD,32698.9450,32698.9450,655.8800,19
019151,12/31/2014,2014,TIIAY,TELECOM ITALIA SPA,USD,26590.7370,26590.7370,527.6040,19
019151,12/31/2015,2015,TIIAY,TELECOM ITALIA SPA,USD,21723.4300,21723.4300,449.5630,19
019151,12/31/2016,2016,TIIAY,TELECOM ITALIA SPA,USD,20403.3470,20403.3470,310.2290,19
019151,12/31/2017,2017,TIIAY,TELECOM ITALIA SPA,USD,24465.9720,24465.9720,333.0090,19
019151,12/31/2018,2018,TIIAY,TELECOM ITALIA SPA,USD,22103.3930,22103.3930,270.1960,19
019151,12/31/2019,2019,TIIAY,TELECOM ITALIA SPA,USD,20441.6800,20441.6800,244.6360,19
020530,03/31/2012,2011,BABA,ALIBABA GROUP HLDG,USD,3179.8330,3179.8330,148.9480,11
020530,03/31/2013,2012,BABA,ALIBABA GROUP HLDG,USD,5557.5770,5557.5770,211.2450,11
020530,03/31/2014,2013,BABA,ALIBABA GROUP HLDG,USD,8446.0460,8446.0460,325.2690,11
020530,03/31/2015,2014,BABA,ALIBABA GROUP HLDG,USD,12292.9500,12292.9500,659.7840,11
020530,03/31/2016,2015,BABA,ALIBABA GROUP HLDG,USD,15685.9490,15685.9490,856.7000,11
020530,03/31/2017,2016,BABA,ALIBABA GROUP HLDG,USD,22994.1020,22994.1020,1278.3300,11
020530,03/31/2018,2017,BABA,ALIBABA GROUP HLDG,USD,39898.2880,39898.2880,2680.5470,11
020530,03/31/2019,2018,BABA,ALIBABA GROUP HLDG,USD,56149.5530,56149.5530,3279.9250,11
020530,03/31/2020,2019,BABA,ALIBABA GROUP HLDG,USD,71972.6660,71972.6660,4370.0880,11
020779,07/31/2010,2010,CSCO,CISCO SYSTEMS INC,USD,40040.0000,40040.0000,290.0000,14
020779,07/31/2011,2011,CSCO,CISCO SYSTEMS INC,USD,43218.0000,43218.0000,325.0000,14
020779,07/31/2012,2012,CSCO,CISCO SYSTEMS INC,USD,46061.0000,46061.0000,218.0000,14
020779,07/31/2013,2013,CSCO,CISCO SYSTEMS INC,USD,48607.0000,48607.0000,218.0000,14
020779,07/31/2014,2014,CSCO,CISCO SYSTEMS INC,USD,47142.0000,47142.0000,196.0000,14
020779,07/31/2015,2015,CSCO,CISCO SYSTEMS INC,USD,49161.0000,49161.0000,202.0000,14
020779,07/31/2016,2016,CSCO,CISCO SYSTEMS INC,USD,49247.0000,49247.0000,186.0000,14
020779,07/31/2017,2017,CSCO,CISCO SYSTEMS INC,USD,48005.0000,48005.0000,209.0000,14
020779,07/31/2018,2018,CSCO,CISCO SYSTEMS INC,USD,49330.0000,49330.0000,166.0000,14
020779,07/31/2019,2019,CSCO,CISCO SYSTEMS INC,USD,51904.0000,51904.0000,204.0000,14
020779,07/31/2020,2020,CSCO,CISCO SYSTEMS INC,USD,49301.0000,49301.0000,187.0000,14
021451,12/31/2012,2012,CNVAF,CNOVA NV,USD,2625.9110,2625.9110,,19
021451,12/31/2013,2013,CNVAF,CNOVA NV,USD,3994.4110,3994.4110,,19
021451,12/31/2014,2014,CNVAF,CNOVA NV,USD,4203.6710,4203.6710,,19
021451,12/31/2015,2015,CNVAF,CNOVA NV,USD,3744.7380,3744.7380,,19
021451,12/31/2016,2016,CNVAF,CNOVA NV,USD,1958.1500,1958.1500,,19
023238,12/31/2012,2012,ETSY,ETSY INC,USD,,,,14
023238,12/31/2013,2013,ETSY,ETSY INC,USD,125.0220,125.0220,,14
023238,12/31/2014,2014,ETSY,ETSY INC,USD,195.5910,195.5910,,14
023238,12/31/2015,2015,ETSY,ETSY INC,USD,273.4990,273.4990,46.9000,14
023238,12/31/2016,2016,ETSY,ETSY INC,USD,364.9670,364.9670,55.5000,14
023238,12/31/2017,2017,ETSY,ETSY INC,USD,441.2310,441.2310,78.4000,14
023238,12/31/2018,2018,ETSY,ETSY INC,USD,603.6930,603.6930,129.1000,14
023238,12/31/2019,2019,ETSY,ETSY INC,USD,818.3790,818.3790,175.2000,14
023650,12/31/2012,2012,SHOP,SHOPIFY INC,USD,,,,11
023650,12/31/2013,2013,SHOP,SHOPIFY INC,USD,50.2520,50.2520,14.4470,11
023650,12/31/2014,2014,SHOP,SHOPIFY INC,USD,105.0180,105.0180,31.0930,11
023650,12/31/2015,2015,SHOP,SHOPIFY INC,USD,205.2330,205.2330,45.4450,11
023650,12/31/2016,2016,SHOP,SHOPIFY INC,USD,389.3300,389.3300,58.3480,11
023650,12/31/2017,2017,SHOP,SHOPIFY INC,USD,673.3040,673.3040,92.0310,11
023650,12/31/2018,2018,SHOP,SHOPIFY INC,USD,1073.2290,1073.2290,131.4340,11
023650,12/31/2019,2019,SHOP,SHOPIFY INC,USD,1578.1730,1578.1730,177.6070,11
023667,12/31/2010,2010,ADRNY,KONINKLIJKE AHOLD DELHAIZE,USD,39183.3570,39183.3570,,19
023667,12/31/2011,2011,ADRNY,KONINKLIJKE AHOLD DELHAIZE,USD,39270.5680,39270.5680,,19
023667,12/31/2012,2012,ADRNY,KONINKLIJKE AHOLD DELHAIZE,USD,43304.1430,43304.1430,,19
023667,12/31/2013,2013,ADRNY,KONINKLIJKE AHOLD DELHAIZE,USD,44940.2090,44940.2090,,19
023667,12/31/2014,2014,ADRNY,KONINKLIJKE AHOLD DELHAIZE,USD,39659.8170,39659.8170,,19
023667,12/31/2015,2015,ADRNY,KONINKLIJKE AHOLD DELHAIZE,USD,41484.6380,41484.6380,,19
023667,12/31/2016,2016,ADRNY,KONINKLIJKE AHOLD DELHAIZE,USD,52438.1640,52438.1640,,19
